"","F1_1","F1_2","F1_3","F1_4","F1_5","F1_6","F1_7","F2_1","F2_2","F2_3","F2_4","F2_5","F2_6","F2_7","F2_8","F2_9","F2_10","F2_11","F2_12","F2_13","F2_14","F2_15","F2_16","F2_17","F2_18","A1","A2","A3","A4","A5","B1","B2","B3","B4","B5","N1","N2","N3","N4","N5","CurrentLabel","NextLabel"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"2",0,1,2,2,2,2,2,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,2,0
"3",0,3,0,1,2,2.5,3,0,0,0,0,0,0,0,0,0,0,0,1.5,3,0,0,0,1,2,0,0.1,0.2,0.6,1,0,0,0,0.3,0.6,0,0.1,0.2,0.6,1,2,0
"4",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0.5,1,1,2,0
"5",0,4,0,0,0.5,3.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0.0535714285714286,0.214285714285714,0,0,0.178571428571429,0.517857142857143,1,0,0.321428571428571,0.714285714285714,1,1,2,0
"6",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
"7",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,2,1
"8",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0.254385964912281,0.254385964912281,0.254385964912281,0.254385964912281,0.254385964912281,0.37719298245614,0.37719298245614,0.37719298245614,0.37719298245614,0.37719298245614,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,2,1
"9",1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.25668449197861,0.25668449197861,0.25668449197861,0.25668449197861,0.25668449197861,0.310160427807487,0.310160427807487,0.310160427807487,0.310160427807487,0.310160427807487,0.433155080213904,0.433155080213904,0.433155080213904,0.433155080213904,0.433155080213904,2,1
"10",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,2,0
"11",1,1,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0
"12",2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176470588235294,0.213235294117647,0.25,0.625,1,0,0,0,0.147058823529412,0.294117647058824,0,0.264705882352941,0.529411764705882,0.639705882352941,0.75,2,0
"13",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.375,0.3875,0.4,0.6,0.6125,0.625,0.8125,1,2,1
"14",3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0.0625,0.125,0,0.234375,0.46875,0.484375,0.5,0.40625,0.453125,0.5,0.75,1,2,1
"15",3,1,53,53,53,53,53,1,1,1,0,0,0,0.25,1,0,0,0.5,1.25,2,0,0,0.5,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.355555555555556,0.355555555555556,0.355555555555556,0.355555555555556,0.355555555555556,0.311111111111111,0.311111111111111,0.311111111111111,0.311111111111111,0.311111111111111,2,0
"16",4,1,29,29,29,29,29,1,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,2,4,0.1,0.1,0.1,0.1,0.1,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,2,0
"17",5,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0625,0.0993589743589744,0.135834236186349,0.197183098591549,0.28169014084507,0.284708249496982,0.30952380952381,0.336538461538462,0.346153846153846,0.52112676056338,0.534127843986999,0.560897435897436,0.616071428571429,0.714285714285714,2,0
"18",7,4,1,2.5,5.5,13.25,29,3,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0.196428571428571,0.254385964912281,0.383333333333333,0.692307692307692,0,0.115384615384615,0.266666666666667,0.367167919799499,0.555555555555556,0.0769230769230769,0.406432748538012,0.466666666666667,0.5,0.75,2,0
"19",10,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,1,2,0,0,1,1,4,0,0.1875,0.1875,0.214285714285714,0.32,0.08,0.153846153846154,0.34375,0.357142857142857,0.5,0.3125,0.428571428571429,0.46875,0.6,0.846153846153846,2,0
"20",10,0,0,0,0,0,0,4,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0.75,3,0.326530612244898,0.369897959183673,0.413265306122449,0.456632653061224,0.5,0,0.0637755102040816,0.127551020408163,0.191326530612245,0.255102040816327,0.418367346938776,0.438775510204082,0.459183673469388,0.479591836734694,0.5,2,1
"21",10,0,0,0,0,0,0,4,2,3,0,0,0,0.75,1,0,0,0,0.75,2,0,0,0,0.75,2,0.111111111111111,0.150793650793651,0.19047619047619,0.203933747412008,0.217391304347826,0.111111111111111,0.198412698412698,0.285714285714286,0.327639751552795,0.369565217391304,0.41304347826087,0.468426501035197,0.523809523809524,0.650793650793651,0.777777777777778,2,1
"22",24,0,0,0,0,0,0,6,4,14,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0.117647058823529,0.176470588235294,0.310344827586207,0.8,0,0.0833333333333333,0.2,0.294117647058824,0.571428571428571,0.2,0.4,0.529411764705882,0.708333333333333,0.833333333333333,2,1
"23",24,2,6,11.5,17,22.5,28,11,4,9,0,0,0,0.75,4,0,0,0,1,2,0,0,1,1,2,0,0.285714285714286,0.326530612244898,0.333333333333333,0.344827586206897,0.172413793103448,0.2,0.255102040816327,0.285714285714286,0.5,0.418367346938776,0.428571428571429,0.466666666666667,0.482758620689655,0.5,2,1
"24",38,0,0,0,0,0,0,7,14,16,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0.142857142857143,0.189500640204866,0.340909090909091,0.666666666666667,0,0.104166666666667,0.279733959311424,0.3743961352657,0.5,0,0.411345108695652,0.472222222222222,0.559098639455782,0.857142857142857,2,1
